City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,kericho,-0.3677,35.2831,12.11,95,79,1.34,KE,2024-11-26
183,kavaratti,10.5669,72.642,27.79,68,100,4.47,IN,2024-11-26
184,sumbe,-11.2061,13.8437,24.88,90,90,3.55,AO,2024-11-26
185,bataipora,-22.2953,-53.2711,24.16,52,10,2.35,BR,2024-11-26
186,amaigbo,5.7892,7.8383,22.03,94,85,0.98,NG,2024-11-26
187,ponta delgada,37.7333,-25.6667,19.4,94,75,6.17,PT,2024-11-26
188,malakal,9.5334,31.6605,23.24,27,4,2.75,SS,2024-11-26
189,afaahiti,-17.75,-149.2833,25.62,83,89,7.32,PF,2024-11-26
190,ancud,-41.8697,-73.8203,9.74,88,10,4.1,CL,2024-11-26
191,la ronge,55.1001,-105.2842,-12.86,85,100,1.54,CA,2024-11-26
192,al ghayzah,16.2079,52.176,25.85,65,97,3.27,YE,2024-11-26
193,chuhar jamali,24.3895,67.9923,23.55,62,0,2.24,PK,2024-11-26
194,zaraysk,54.7653,38.8836,-2.67,75,17,2.77,RU,2024-11-26
195,huazhou,21.6333,110.5833,18.57,72,100,5.26,CN,2024-11-26
196,tangalle,6.024,80.7911,24.23,93,100,2.29,LK,2024-11-26
197,sisimiut,66.9395,-53.6735,-3.87,93,100,8.75,GL,2024-11-26
198,isafjordur,66.0755,-23.124,-0.7,85,45,5.04,IS,2024-11-26
199,tippi,7.2,35.45,17.84,97,99,1.16,ET,2024-11-26
200,elliot lake,46.3834,-82.6331,-2.05,97,100,2.34,CA,2024-11-26
201,olyokminsk,60.3736,120.4264,-24.64,97,80,1.06,RU,2024-11-26
202,rexburg,43.826,-111.7897,-0.01,59,0,2.06,US,2024-11-26
203,selfoss,63.9331,-20.9971,-6.64,77,49,2.04,IS,2024-11-26
204,longyearbyen,78.2186,15.6401,-11.09,79,75,8.23,SJ,2024-11-26
205,lobujya,27.95,86.8167,-12.03,29,0,1.77,NP,2024-11-26
206,tamandare,-8.7597,-35.1047,24.72,81,63,1.84,BR,2024-11-26
207,lae,-6.7221,146.9847,29.14,62,91,4.67,PG,2024-11-26
208,katsuura,35.1333,140.3,15.5,63,100,2.19,JP,2024-11-26
209,albert lea,43.648,-93.3683,-5.57,86,0,3.6,US,2024-11-26
210,playa blanca,28.8643,-13.8281,20.06,86,100,2.9,ES,2024-11-26
211,padra,22.2333,73.0833,16.05,77,96,2.06,IN,2024-11-26
212,nang rong,14.6377,102.7914,27.1,69,27,5.0,TH,2024-11-26
213,demopolis,32.5176,-87.8364,18.97,82,0,2.06,US,2024-11-26
214,bridlington,54.0831,-0.1919,5.64,83,3,2.24,GB,2024-11-26
215,kiselevsk,53.99,86.6621,-11.81,95,79,1.36,RU,2024-11-26
